date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2015-08-07,5684639.71035,2016.0,0.0,2.83,164329.0,27437.65625,37.3184135113,
2015-08-08,4692095.19421,2807.0,167911000.0,2.79,674188.0,27943.4375,68.0999700719,
2015-08-09,822968.506448,1298.0,42637600.0,0.706136,532170.0,27178.28125,14.0989497032,
2015-08-10,1193011.28756,1999.0,43130000.0,0.713989,405283.0,27817.34375,31.1651444384,
2015-08-11,1051922.38685,4945.0,42796500.0,0.708087,1463100.0,28027.8125,11.311448586,
2015-08-12,792332.720964,1993.0,64018400.0,1.06,2150620.0,27370.9375,32.5869924044,
2015-08-13,2181178.65188,2807.0,73935400.0,1.22,4068680.0,28268.125,24.9291691099,
2015-08-14,4154762.74448,3144.0,109594000.0,1.81,4637030.0,31106.71875,14.3548341128,
2015-08-15,8336306.79171,2264.0,109160000.0,1.8,2554360.0,28512.65625,8.83659302805,
2015-08-16,2870425.71771,2422.0,102028000.0,1.68,3550790.0,27094.53125,6.67723792491,
2015-08-17,3546720.03334,2503.0,95819700.0,1.58,1942830.0,28118.90625,7.64281183963,
2015-08-18,1889437.07633,2485.0,88143200.0,1.22,1485680.0,26162.8125,11.9060713402,
2015-08-19,1345002.29288,3224.0,84663900.0,1.17,1486240.0,27282.03125,15.4309506695,
2015-08-20,521679.807637,2266.0,90809000.0,1.25,2843760.0,21057.03125,6.85556694271,
2015-08-21,868536.958506,3888.0,107266000.0,1.48,2020970.0,26690.9375,7.85504172471,
2015-08-22,692395.557139,3562.0,101404000.0,1.4,948310.0,27550.46875,42.5471718296,
2015-08-23,687012.117519,4126.0,99894500.0,1.38,1589300.0,26255.625,8.0497676729,
2015-08-24,623945.245422,4423.0,97791600.0,1.35,924920.0,27333.28125,8.8762854198,
2015-08-25,499939.847307,4449.0,89321900.0,1.23,1307180.0,26736.09375,8.25975582511,
2015-08-26,496507.859703,4112.0,82384400.0,1.13,1056750.0,26137.96875,7.44772927856,
2015-08-27,319146.960498,5568.0,85106100.0,1.17,686662.0,24532.8125,8.67096304289,
2015-08-28,345519.947941,4723.0,83521700.0,1.15,721872.0,24225.15625,9.92514837051,
2015-08-29,512109.426379,4109.0,86887600.0,1.19,375377.0,22525.0,5.50745152606,
2015-08-30,490782.177398,4547.0,86145900.0,1.18,1337650.0,21453.59375,5.63417374243,
2015-08-31,508000.974842,5165.0,96251000.0,1.32,1447180.0,21293.4375,7.42453381438,
2015-09-01,1916754.26487,5114.0,98617200.0,1.35,778862.0,20339.21875,7.84376985589,
