date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013-12-15,15152060.7887,128955.0,3488670.0,0.000559,0.0,834560247.0,399098.336028,
2013-12-16,21465162.9071,94694.0,1970320.0,0.000299,0.0,791014644.0,3890423.27865,
2013-12-17,2575472.1562,92528.0,1526120.0,0.000207,0.0,707277501.0,374.493401929,
2013-12-18,3789441.18208,95216.0,2160040.0,0.000267,0.0,739786847.0,5188.43440388,
2013-12-19,10919230.6999,192523.0,3487800.0,0.000395,0.0,771582898.0,4689.41557583,
2013-12-20,50441971.0138,199950.0,10967000.0,0.001143,0.0,758765431.0,1412.57905471,
2013-12-21,27934092.8902,167414.0,7251820.0,0.0007,0.0,726686334.0,1842.71322367,
2013-12-22,14860540.0915,158224.0,4333660.0,0.000391,0.0,700004797.0,1341.83389604,
2013-12-23,12741031.2674,149008.0,3682510.0,0.000313,0.0,734348244.0,1234.36398374,
2013-12-24,14600987.6813,126443.0,5636240.0,0.00045,0.0,727433683.0,1089.82450371,
2013-12-25,24691477.8122,131133.0,9086260.0,0.000686,0.0,730638124.0,855.745493942,
2013-12-26,18865055.904,125828.0,8217120.0,0.000588,0.0,713324497.0,14802.2908991,
2013-12-27,19117491.3978,133542.0,8854330.0,0.000603,477422.0,683197526.0,47260.0128444,
2013-12-28,16034986.4983,113776.0,8051360.0,0.000524,341581.0,718112583.0,38676.2920018,
2013-12-29,13280687.8223,116612.0,7377480.0,0.000459,360974.0,717340085.0,37271.6310425,
2013-12-30,14113717.6856,122836.0,7598510.0,0.000452,276660.0,708484813.0,58368.5124157,
2013-12-31,12408014.5063,108639.0,7311460.0,0.000418,273400.0,703929399.0,53396.4810747,
2014-01-01,13560793.9733,110500.0,7701190.0,0.000423,307917.0,743166326.0,56073.0714057,
2014-01-02,13560046.066,112216.0,8504140.0,0.000449,318037.0,691044881.0,68795.793396,
2014-01-03,11918570.0576,111309.0,6940830.0,0.000353,303106.0,699428419.0,62019.1378327,
2014-01-04,9983915.15927,111888.0,6198170.0,0.000305,313907.0,678663575.0,64029.3444839,
2014-01-05,9446157.16671,92521.0,6318730.0,0.0003,245107.0,707058677.0,60034.4548462,
2014-01-06,7611900.33878,93503.0,5899650.0,0.000271,265529.0,704199226.0,63194.5514422,
2014-01-07,7442420.76736,93175.0,5726300.0,0.000255,212892.0,711509001.0,62060.104142,
2014-01-08,6140822.57404,86764.0,5159610.0,0.000223,174256.0,684762013.0,53667.0091011,
2014-01-09,7555226.81799,91501.0,5415010.0,0.000227,314644.0,743974639.0,68836.3471611,
2014-01-10,7265708.69589,96897.0,6034890.0,0.000246,570553.0,703304146.0,75218.0477781,
2014-01-11,11566512.3794,96967.0,9428560.0,0.000373,986660.0,710307257.0,69939.9457602,
2014-01-12,11889414.4398,89093.0,9321690.0,0.000359,296158.0,677405238.0,104057.266464,
2014-01-13,11584689.6351,93710.0,9175880.0,0.000344,391890.0,716739626.0,115912.417991,
2014-01-14,9503947.01207,100358.0,7619940.0,0.000278,577691.0,734150583.0,112231.808885,
2014-01-15,19502898.4854,99304.0,9604290.0,0.000342,1259190.0,756097987.0,120506.904015,
2014-01-16,18126446.9954,88080.0,11924600.0,0.000413,483679.0,704298657.0,99756.3757899,
2014-01-17,17534903.3686,113775.0,11354800.0,0.000384,716054.0,759774182.0,203021.881169,
2014-01-18,18512453.9981,113071.0,12584500.0,0.000416,2998020.0,738702172.0,190861.822609,
2014-01-19,33660983.5539,125425.0,18265900.0,0.000588,3509460.0,740013410.0,206182.69171,
2014-01-20,46014694.0137,133169.0,22181200.0,0.000697,9061440.0,732146964.0,191358.573599,
2014-01-21,282952836.942,150611.0,40764900.0,0.001252,13114300.0,771119001.0,229941.671451,
2014-01-22,209920133.596,155733.0,65907400.0,0.001977,5896280.0,700757950.0,203011.658998,
2014-01-23,206147997.023,134405.0,50913700.0,0.001496,5532260.0,715858045.0,165813.582036,
2014-01-24,158178787.11,129611.0,62568300.0,0.001801,4732940.0,718536450.0,143728.606658,
2014-01-25,261608960.443,111903.0,63241800.0,0.001784,3206090.0,698467324.0,128393.382352,
2014-01-26,282155431.419,121651.0,66670100.0,0.001844,4570820.0,694049949.0,145765.666383,
2014-01-27,344629186.792,121347.0,58676000.0,0.001592,1999700.0,717784289.0,138088.377034,
2014-01-28,413507246.394,105078.0,45943000.0,0.001223,2112100.0,681894300.0,147233.471266,
2014-01-29,210934172.019,131621.0,51737400.0,0.001353,2488540.0,721794857.0,144841.841794,
2014-01-30,218621333.598,128877.0,62452400.0,0.001602,2168880.0,756935544.0,153180.953051,
2014-01-31,170213222.784,124719.0,60477400.0,0.001522,1003380.0,726482009.0,115584.989467,
2014-02-01,97498143.8355,117451.0,63019600.0,0.001558,1084150.0,711840888.0,124029.355862,
2014-02-02,128959793.432,117639.0,59662500.0,0.001449,2000720.0,692002807.0,120907.070028,
2014-02-03,182944347.616,111852.0,53467700.0,0.001277,1879300.0,712478688.0,120587.986832,
2014-02-04,302809676.096,125052.0,54005800.0,0.001269,2569440.0,726779264.0,124553.354598,
2014-02-05,175371769.386,105693.0,50366800.0,0.001163,2623790.0,715279697.0,133093.755315,
2014-02-06,220006940.305,110259.0,57574800.0,0.001308,1831240.0,746665483.0,146172.406866,
2014-02-07,167661984.839,111766.0,58566400.0,0.001308,1401220.0,717094725.0,132098.642259,
2014-02-08,183653559.376,100784.0,50250600.0,0.001105,789545.0,723105044.0,136517.929148,
2014-02-09,152505858.714,104106.0,49773700.0,0.001077,2538170.0,709335014.0,137520.47175,
2014-02-10,170835004.006,111971.0,60361800.0,0.001287,4810030.0,753740511.0,145284.167064,
2014-02-11,170433673.485,112163.0,67385100.0,0.001414,9117540.0,693447631.0,141398.349313,
2014-02-12,312913133.101,110865.0,87842000.0,0.001817,6437240.0,726209077.0,139471.149357,
2014-02-13,127595678.636,105509.0,89197700.0,0.001817,5636470.0,718763439.0,128800.104248,
2014-02-14,125925792.929,88712.0,77942300.0,0.001565,6470210.0,375119497.0,105303.308318,
2014-02-15,82415320.7654,79090.0,79014400.0,0.001575,4900070.0,350525449.0,99723.0151891,
2014-02-16,53410271.8511,78463.0,76647400.0,0.001517,2110320.0,351917752.0,95237.8474811,
2014-02-17,34532841.2707,48248.0,71737400.0,0.00141,4679940.0,343876947.0,62845.2352101,
2014-02-18,14476574.3934,33281.0,68956500.0,0.001346,2027290.0,382126274.0,41323.1558987,
2014-02-19,47659776.4771,38962.0,73485600.0,0.001424,2416530.0,353450030.0,47506.0800406,
2014-02-20,49554767.8914,34292.0,69869700.0,0.001345,2420130.0,351543777.0,45337.5804943,
2014-02-21,60450723.4205,37375.0,63418800.0,0.001212,2149320.0,362765129.0,43812.1316371,
